fund_id,scheme_name,factsheet_date,modified_duration,yield_shock_bps,estimated_nav_impact_percent
F001,BHARAT Bond ETF - April 2030,2026-02-28,3.1,25,-0.7750000000000001
F001,BHARAT Bond ETF - April 2030,2026-02-28,3.1,50,-1.5500000000000003
F001,BHARAT Bond ETF - April 2030,2026-02-28,3.1,100,-3.1000000000000005
F001,BHARAT Bond ETF - April 2030,2026-02-28,3.1,150,-4.65
F001,BHARAT Bond ETF - April 2030,2026-02-28,3.1,200,-6.200000000000001
F002,BHARAT Bond FOF - April 2030,2026-02-28,3.1,25,-0.7750000000000001
F002,BHARAT Bond FOF - April 2030,2026-02-28,3.1,50,-1.5500000000000003
F002,BHARAT Bond FOF - April 2030,2026-02-28,3.1,100,-3.1000000000000005
F002,BHARAT Bond FOF - April 2030,2026-02-28,3.1,150,-4.65
F002,BHARAT Bond FOF - April 2030,2026-02-28,3.1,200,-6.200000000000001
F003,BHARAT Bond ETF - April 2031,2025-01-31,4.58,25,-1.145
F003,BHARAT Bond ETF - April 2031,2025-01-31,4.58,50,-2.29
F003,BHARAT Bond ETF - April 2031,2025-01-31,4.58,100,-4.58
F003,BHARAT Bond ETF - April 2031,2025-01-31,4.58,150,-6.87
F003,BHARAT Bond ETF - April 2031,2025-01-31,4.58,200,-9.16
F004,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,2026-03-31,3.65,25,-0.9125
F004,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,2026-03-31,3.65,50,-1.825
F004,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,2026-03-31,3.65,100,-3.65
F004,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,2026-03-31,3.65,150,-5.475
F004,ICICI Prudential Nifty G-Sec Dec 2030 Index Fund,2026-03-31,3.65,200,-7.3
F005,HDFC Nifty G-Sec Jun 2027 Index Fund,2026-03-31,1.08,25,-0.27
F005,HDFC Nifty G-Sec Jun 2027 Index Fund,2026-03-31,1.08,50,-0.54
F005,HDFC Nifty G-Sec Jun 2027 Index Fund,2026-03-31,1.08,100,-1.08
F005,HDFC Nifty G-Sec Jun 2027 Index Fund,2026-03-31,1.08,150,-1.6199999999999999
F005,HDFC Nifty G-Sec Jun 2027 Index Fund,2026-03-31,1.08,200,-2.16
F006,HDFC Nifty SDL Plus G-Sec Jun 2027 40:60 Index Fund,2026-03-31,1.09,25,-0.2725
F006,HDFC Nifty SDL Plus G-Sec Jun 2027 40:60 Index Fund,2026-03-31,1.09,50,-0.545
F006,HDFC Nifty SDL Plus G-Sec Jun 2027 40:60 Index Fund,2026-03-31,1.09,100,-1.09
F006,HDFC Nifty SDL Plus G-Sec Jun 2027 40:60 Index Fund,2026-03-31,1.09,150,-1.635
F006,HDFC Nifty SDL Plus G-Sec Jun 2027 40:60 Index Fund,2026-03-31,1.09,200,-2.18
F007,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,2026-03-31,0.02,25,-0.005
F007,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,2026-03-31,0.02,50,-0.01
F007,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,2026-03-31,0.02,100,-0.02
F007,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,2026-03-31,0.02,150,-0.03
F007,Nippon India ETF Nifty SDL Apr 2026 Top 20 Equal Weight,2026-03-31,0.02,200,-0.04
F008,Axis CRISIL IBX SDL May 2027 Index Fund,2026-03-31,1.13,25,-0.2825
F008,Axis CRISIL IBX SDL May 2027 Index Fund,2026-03-31,1.13,50,-0.565
F008,Axis CRISIL IBX SDL May 2027 Index Fund,2026-03-31,1.13,100,-1.13
F008,Axis CRISIL IBX SDL May 2027 Index Fund,2026-03-31,1.13,150,-1.6949999999999996
F008,Axis CRISIL IBX SDL May 2027 Index Fund,2026-03-31,1.13,200,-2.26
